Locus Tag	Description	dN/dS	dN	dS	%min5Xcov	%min1Xcov	avg read depth	dN/dS vs CC9311	dN/dS 70_70	dN/dS PAML
sync_0001	DNA polymerase III, beta subunit (EC:2.7.7.7 )	0.0	0.0	0.089	21.07	98.53	3.488	0.0	0.015	0.00523563027236257
sync_0002	hypothetical protein	0.302	0.005	0.016	11.36	86.52	1.491	0.335	0.302	0.0
sync_0003	phosphoribosylformylglycinamidine synthase II (EC:6.3.5.3 )	0.155	0.021	0.136	56.73	93.4	5.724	0.157	0.155	0.114270300672373
sync_0004	amidophosphoribosyltransferase (EC:2.4.2.14 )	0.042	0.005	0.125	100.0	100.0	10.208	0.044	0.042	0.0434591527049994
sync_0005	DNA gyrase subunit A (EC:5.99.1.3 )	0.061	0.01	0.167	93.22	99.68	11.452	0.064	0.062	0.215483621630316
sync_0006	tetratricopeptide repeat protein	0.062	0.013	0.208	100.0	100.0	14.242	0.064	0.062	0.0419506698966182
sync_0007	iron-sulfur cluster binding protein, putative	0.062	0.008	0.123	82.15	100.0	8.337	0.062	0.062	0.109961614176683
sync_0008	hypothetical protein	0.047	0.008	0.179	100.0	100.0	13.178	0.056	0.047	0.0316823912973897
sync_0009	hypothetical protein	0.015	0.002	0.136	88.8	100.0	8.785	0.029	0.015	0.0111012793528296
sync_0010	putative transcription antitermination factor NusB	0.014	0.002	0.129	83.57	100.0	9.284	0.036	0.014	0.07895635762922
sync_0011	signal recognition particle-docking protein FtsY	0.072	0.01	0.138	71.01	90.94	6.771	0.082	0.075	0.161178615819738
sync_0012	SpoIIE domain protein	0.043	0.006	0.138	83.62	97.8	8.073	0.044	0.043	0.0293386364436316
sync_0013	argininosuccinate lyase (EC:4.3.2.1 )	0.073	0.01	0.134	99.3	100.0	10.364	0.073	0.073	0.114963561188828
sync_0014	RNA-binding region RNP-1 (RNA recognition motif)	0.064	0.01	0.16	92.67	100.0	12.564	0.055	0.064	0.115331163655888
sync_0015	tRNA-dihydrouridine synthase A (EC:1.- )	0.063	0.011	0.181	100.0	100.0	15.914	0.065	0.063	0.24078514393618
sync_0016	methionine-R-sulfoxide reductase (EC:1.8.4.- )	0.109	0.012	0.112	100.0	100.0	17.867	0.112	0.109	0.0566564932537836
sync_0017	conserved hypothetical protein TIGR00275	0.176	0.039	0.221	99.16	100.0	20.067	0.175	0.183	0.141248577895138
sync_0018	hypothetical protein	NaN	0.0	0.0	0.0	14.18	0.164	NaN	NaN	NaN
sync_0019	type IV pilus assembly protein PilC	0.089	0.027	0.308	100.0	100.0	15.923	0.092	0.089	0.0578722623017026
sync_0020	twitching motility protein	0.061	0.016	0.259	100.0	100.0	15.818	0.063	0.061	0.0508574397256915
sync_0021	type IV pilus assembly protein PilB	0.054	0.012	0.215	79.43	100.0	10.571	0.063	0.054	0.103101216356753
sync_0022	co-chaperone GrpE	0.149	0.019	0.129	100.0	100.0	11.051	0.144	0.154	0.235823752034077
sync_0023	DnaJ protein	0.028	0.007	0.24	98.67	100.0	10.06	0.023	0.028	0.0179231025556961
sync_0024	hypothetical protein	0.327	0.03	0.093	55.56	100.0	4.65	0.485	0.327	0.358179302164673
sync_0025	ribosome-associated GTPase YjeQ	0.115	0.015	0.131	90.38	100.0	7.212	0.11	0.115	0.0386104137307067
sync_0026	conserved hypothetical protein TIGR00103	0.12	0.016	0.13	94.44	100.0	6.871	0.115	0.12	0.0585130351846178
sync_0027	UDP-N-acetylenolpyruvoylglucosamine reductase (EC:1.1.1.158 )	0.117	0.012	0.103	74.76	100.0	5.907	0.116	0.123	0.153774905037855
sync_0028	UDP-N-acetylmuramate--alanine ligase (EC:6.3.2.8 )	0.172	0.031	0.179	79.27	98.83	6.594	0.173	0.172	0.198019507663271
sync_0029	glyceraldehyde-3-phosphate dehydrogenase, type I (EC:1.2.1.- )	0.043	0.01	0.225	27.19	100.0	3.964	0.041	0.042	0.0579076285259492
sync_0030	thiamine-monophosphate kinase (EC:2.7.4.16 )	0.106	0.017	0.164	24.77	94.39	3.444	0.101	0.106	0.270245770205295
sync_0031	peptidyl-prolyl cis-trans isomerase, cyclophilin-type (EC:5.2.1.8 )	0.047	0.006	0.131	66.85	100.0	6.501	0.053	0.047	0.176848499591362
sync_0032	translation elongation factor P	0.064	0.004	0.058	87.06	100.0	5.349	0.061	0.064	0.0745019418910991
sync_0033	acetyl-CoA carboxylase, biotin carboxyl carrier protein	0.077	0.006	0.08	79.38	100.0	6.725	0.071	0.077	0.0814057407960836
sync_0034	4-hydroxythreonine-4-phosphate dehydrogenase (EC:1.1.1.262 )	0.169	0.015	0.088	47.81	94.07	4.315	0.172	0.169	0.1966320465399
sync_0035	NAD dependent epimerase/dehydratase	0.2	0.025	0.126	85.16	100.0	6.974	0.176	0.206	0.174485693576711
sync_0036	possible Squash family serine protease inhibit	0.178	0.028	0.156	100.0	100.0	9.62	0.189	0.178	0.26411724031899
sync_0037	HNH endonuclease:HNH nuclease	0.158	0.025	0.157	89.12	100.0	5.773	0.142	0.158	0.491547918413726
sync_0038	possible helicase	0.059	0.01	0.173	83.55	100.0	6.833	0.071	0.059	0.1551187129313
sync_0039	possible Penicillin amidase	0.118	0.026	0.219	23.26	91.28	3.19	0.078	0.118	0.0537857095975843
sync_0040	hypothetical protein	0.006	0.001	0.172	94.57	100.0	6.86	0.016	0.006	0.657550526287119
