locus_tag	has_pfam	pfam_domains
sync_0013	yes	PF14698;PF00206
sync_0025	yes	PF03193
sync_0026	yes	PF02575
sync_0027	yes	PF01565;PF02873
sync_0028	yes	PF01225;PF02875;PF08245
sync_0032	yes	PF01132;PF08207;PF09285
sync_0047	yes	PF00117;PF00958
sync_0058	yes	PF00453
sync_0059	yes	PF01632
sync_0064	yes	PF07724;PF10431;PF06689
sync_0066	yes	PF00254;PF05698;PF05697
sync_0068	yes	PF00701
sync_0074	yes	PF00271;PF04851;PF02151;PF12344;PF17757
sync_0079	yes	PF01624;PF05188;PF05192;PF05190;PF00488
sync_0081	yes	PF00885
sync_0086	yes	PF21090;PF07517;PF01043;PF07516
sync_0090	yes	PF00707;PF05198
sync_0091	yes	PF01715
sync_0108	yes	PF05221;PF00670
sync_0116	yes	PF00152;PF01336
sync_0123	yes	PF01668
sync_0124	yes	PF17864;PF05496;PF05491
sync_0129	yes	PF01964
sync_0133	yes	PF12838
sync_0195	yes	PF24986;PF01782
sync_0232	yes	PF03129;PF13393
sync_0236	yes	PF01788
sync_0237	yes	PF02419
sync_0239	yes	PF00283;PF00284
sync_0242	yes	PF00507
sync_0243	yes	PF01058
sync_0244	yes	PF00329
sync_0260	yes	PF00475
sync_0272	yes	PF01725
sync_0283	yes	PF02533
sync_0284	yes	PF01702
sync_0289	yes	PF01808;PF02142
sync_0292	yes	PF02401
sync_0294	yes	PF03749;PF17746
sync_0300	yes	PF00464
sync_0302	yes	PF02464;PF18146;PF00994
sync_0303	yes	PF00330
sync_0307	yes	PF02532
sync_0309	yes	PF02468
sync_0310	yes	PF00737
sync_0312	yes	PF01195
sync_0325	yes	PF02878;PF02879;PF02880;PF00408
sync_0328	yes	PF02390
sync_0333	yes	PF08264;PF00133;PF06827
sync_0337	yes	PF02686
sync_0342	yes	PF02245
sync_0343	yes	PF00185;PF02729
sync_0358	yes	PF01264
sync_0368;	yes	PF00124
sync_0372	yes	PF00155
sync_0375	yes	PF01351
sync_0380	yes	PF00338
sync_0381	yes	PF00009;PF03144;PF03143
sync_0382	yes	PF00679;PF14492;PF03764;PF00009;PF03144
sync_0383	yes	PF00177
sync_0384	yes	PF00164
sync_0393	yes	PF00223
sync_0394	yes	PF00223
sync_0408	yes	PF03462;PF00472
sync_0409	yes	PF01197
sync_0410	yes	PF00380
sync_0411	yes	PF00572
sync_0413	yes	PF01196
sync_0414	yes	PF01000;PF03118;PF01193
sync_0415	yes	PF00411
sync_0416	yes	PF00416
sync_0417	yes	PF00444
sync_0418	yes	PF00406
sync_0420	yes	PF00828
sync_0422	yes	PF00861
sync_0423	yes	PF00347
sync_0424	yes	PF00410
sync_0425	yes	PF00281;PF00673
sync_0426	yes	PF00467;PF17136
sync_0427	yes	PF00238
sync_0428	yes	PF00366
sync_0429	yes	PF00831
sync_0430	yes	PF00252
sync_0431	yes	PF07650;PF00189
sync_0432	yes	PF00237
sync_0433	yes	PF00203
sync_0434	yes	PF03947;PF00181
sync_0435	yes	PF00276
sync_0436	yes	PF00573
sync_0437	yes	PF00297
sync_0438	yes	PF11909
sync_0443	yes	PF21096;PF00154
sync_0481	yes	PF00586;PF02769
sync_0483	yes	PF02224;PF02569
sync_0490	yes	PF05996
sync_0529	yes	PF02773;PF02772;PF00438
sync_0532	yes	PF03477;PF22811
sync_0533	yes	PF01405
sync_0536	yes	PF05151
sync_0544	yes	PF03776
sync_0549	yes	PF00033
sync_0550	yes	PF00032
sync_0562	yes	PF02427
sync_0589	yes	PF03079
sync_0596	yes	PF14714;PF01926
sync_0604	yes	PF02565;PF11967
sync_0619	yes	PF02547
sync_0629	yes	PF00163;PF01479
sync_0630	yes	PF01809
sync_0632	yes	PF01225;PF02875;PF08245
sync_0652	yes	PF00679;PF00009;PF03144;PF06421
sync_0698	yes	PF00977
sync_0725	yes	PF01450;PF07991
sync_0730	yes	PF02548
sync_0734	yes	PF07478;PF01820
sync_0735	yes	PF04055;PF01938;PF00919
sync_0751	yes	PF00218
sync_0759	yes	PF03054;PF20258;PF20259
sync_0767	yes	PF00886
sync_0775	yes	PF01746
sync_0781	yes	PF02542
sync_0791	yes	PF17792;PF02581
sync_0795	yes	PF01975
sync_0893	yes	PF01656;PF07685
sync_0895	yes	PF02545
sync_0897;	yes	PF00124
sync_0898	yes	PF02392
sync_0903	yes	PF08041
sync_0920	yes	PF08436;PF02670;PF13288
sync_0961	yes	PF02075
sync_0967	yes	PF02529
sync_0976	yes	PF22617;PF00682;PF08502
sync_0990	yes	PF00763;PF02882
sync_0999	yes	PF00708
sync_1006	yes	PF02518;PF00512;PF07689
sync_1032	yes	PF06968;PF04055
sync_1038	yes	PF21175;PF21176;PF02132;PF13662
sync_1138	yes	PF01134
sync_1151	yes	PF03740
sync_1210	yes	PF00121
sync_1226	yes	PF00156
sync_1272	yes	PF01430
sync_1275	yes	PF00318
sync_1276	yes	PF00889
sync_1290	yes	PF01578
sync_1301	yes	PF02911;PF00551
sync_1304	yes	PF02915
sync_1313	yes	PF05969
sync_1319	yes	PF01783
sync_1321	yes	PF03699
sync_1328	yes	PF03040
sync_1337	yes	PF01084
sync_1338	yes	PF00471
sync_1361	yes	PF01541;PF14520;PF02151;PF22920;PF08459
sync_1362	yes	PF01467
sync_1375	yes	PF08264;PF00133;PF13603;PF09334
sync_1392	yes	PF00005
sync_1399	yes	PF00830
sync_1410	yes	PF13292;PF02779;PF02780
sync_1422	yes	PF03742
sync_1526	yes	PF02775;PF16582;PF02776
sync_1529	yes	PF08323;PF00534
sync_1533	yes	PF00132;PF12804
sync_1537	yes	PF00275
sync_1539	no	
sync_1544	yes	PF13640
sync_1547	yes	PF04029
sync_1583	yes	PF03912
sync_1593	yes	PF08544;PF00288
sync_1594	yes	PF00398
sync_1600	yes	PF02590
sync_1627	yes	PF14520;PF01330
sync_1628	yes	PF00312
sync_1631	yes	PF01425
sync_1637	yes	PF02885;PF00591
sync_1674	yes	PF04551;PF26540
sync_1685	yes	PF03320
sync_1686	yes	PF00745;PF05201;PF01488
sync_1707	yes	PF01039;PF17848
sync_1723	yes	PF00977
sync_1856	yes	PF00124
sync_1858	yes	PF00124
