Entry	Gene Names	Organism (ID)	Pfam	Protein names	Gene Names (ordered locus)
Q0I677	pyrG sync_2858	64471	PF06418;PF00117;	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	sync_2858
Q0I6J3	ndk sync_2741	64471	PF00334;	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	sync_2741
Q0I7J2	psbA1 sync_0368; psbA4 sync_2384	64471	PF00124;	Photosystem II protein D1 1 (PSII D1 protein 1) (EC 1.10.3.9) (Photosystem II Q(B) protein 1)	sync_0368; sync_2384
Q0I7M1	rlmN sync_2354	64471	PF04055;PF21016;	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	sync_2354
Q0I910	psbA3 sync_1858	64471	PF00124;	Photosystem II protein D1 3 (PSII D1 protein 3) (EC 1.10.3.9) (Photosystem II Q(B) protein 3)	sync_1858
Q0I912	psbA2 sync_1856	64471	PF00124;	Photosystem II protein D1 2 (PSII D1 protein 2) (EC 1.10.3.9) (Photosystem II Q(B) protein 2)	sync_1856
Q0I9Y4	glmU sync_1533	64471	PF00132;PF12804;	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	sync_1533
Q0IC80	ilvC sync_0725	64471	PF01450;PF07991;	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	sync_0725
Q0ICH2	murE sync_0632	64471	PF01225;PF02875;PF08245;	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	sync_0632
Q0ICW2	panC/cmk sync_0483	64471	PF02224;PF02569;	Bifunctional pantoate ligase/cytidylate kinase [Includes: Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme); Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)]	sync_0483
