locus_tag	has_pfam	n_pfam_domains	pfam_domains
sync_0001	yes	3	PF00712.25;PF02767.22;PF02768.21
sync_0002	no	0	
sync_0003	yes	3	PF00586.30;PF02769.28;PF18072.7
sync_0004	yes	2	PF13522.12;PF13537.12
sync_0005	yes	1	PF00521.27
sync_0006	yes	1	PF13432.13
sync_0007	yes	2	PF08331.16;PF13484.12
sync_0008	yes	1	PF28006.1
sync_0009	yes	1	PF04367.19
sync_0010	yes	1	PF01029.24
sync_0011	yes	1	PF00448.29
sync_0012	yes	1	PF07228.18
sync_0013	yes	2	PF00206.26;PF14698.12
sync_0014	yes	1	PF00076.29
sync_0015	yes	1	PF01207.24
sync_0016	yes	1	PF01641.27
sync_0017	yes	2	PF03486.21;PF22780.2
sync_0018	no	0	
sync_0019	yes	1	PF00482.29
sync_0020	yes	1	PF00437.27
sync_0021	yes	1	PF00437.27
sync_0022	yes	1	PF01025.25
sync_0023	yes	3	PF00226.37;PF00684.26;PF01556.24
sync_0024	yes	1	PF01206.23
sync_0025	yes	1	PF03193.23
sync_0026	yes	1	PF02575.22
sync_0027	yes	2	PF01565.29;PF02873.22
sync_0028	yes	3	PF01225.31;PF02875.27;PF08245.19
sync_0029	yes	2	PF00044.31;PF02800.26
sync_0030	yes	1	PF00586.30
sync_0031	yes	2	PF00160.27;PF21329.3
sync_0032	yes	3	PF01132.28;PF08207.19;PF09285.18
sync_0033	yes	1	PF00364.29
sync_0034	yes	1	PF04166.18
sync_0035	no	0	
sync_0036	no	0	
sync_0037	yes	2	PF01844.30;PF14279.13
sync_0038	yes	2	PF00176.30;PF00271.38
sync_0039	yes	1	PF20191.4
sync_0040	yes	1	PF05145.18
sync_0041	no	0	
sync_0042	no	0	
sync_0043	no	0	
sync_0045	yes	1	PF00266.26
sync_0046	yes	1	PF01888.23
sync_0047	yes	2	PF00117.35;PF00958.28
sync_0048	no	0	
sync_0049	no	0	
sync_0050	no	0	
sync_0051	yes	2	PF00905.28;PF03717.21
sync_0052	yes	4	PF00534.27;PF13439.13;PF13579.13;PF13692.13
sync_0053	yes	2	PF01370.28;PF16363.12
sync_0054	no	0	
sync_0055	yes	1	PF05690.21
sync_0056	no	0	
sync_0057	no	0	
sync_0058	yes	1	PF00453.24
sync_0059	yes	1	PF01632.25
sync_0060	yes	1	PF08486.16
sync_0061	yes	4	PF00535.33;PF13506.14;PF13632.13;PF13641.13
sync_0062	yes	4	PF00004.36;PF12169.14;PF13177.13;PF22608.3
sync_0063	yes	1	PF04970.20
