old_locus_tag	protein_id
sync_0001	WP_011617992.1
sync_0002	WP_011617993.1
sync_0003	WP_011617994.1
sync_0004	WP_011617995.1
sync_0005	WP_011617996.1
sync_0006	WP_369791614.1
sync_0007	WP_011617998.1
sync_0008	WP_011617999.1
sync_0009	WP_011618000.1
sync_0010	WP_011618001.1
sync_0011	WP_011618002.1
sync_0012	WP_011618003.1
sync_0013	WP_011618004.1
sync_0014	WP_011618005.1
sync_0015	WP_011618006.1
sync_0016	WP_011618007.1
sync_0017	WP_237699319.1
sync_0018	WP_041426202.1
sync_0019	WP_011618010.1
sync_0020	WP_041426203.1
sync_0021	WP_237699236.1
sync_0022	WP_041426204.1
sync_0023	WP_041426205.1
sync_0024	WP_011618015.1
sync_0025	WP_011618016.1
sync_0026	WP_011618017.1
sync_0027	WP_011618018.1
sync_0028	WP_011618019.1
sync_0029	WP_011618020.1
sync_0030	WP_011618021.1
sync_0031	WP_011618022.1
sync_0032	WP_011618023.1
sync_0033	WP_011618024.1
sync_0034	WP_011618025.1
sync_0035	WP_011618026.1
sync_0036	WP_011618027.1
sync_0037	WP_011618028.1
sync_0038	WP_041426818.1
sync_0039	WP_041426820.1
sync_0040	WP_011618031.1
sync_0041	WP_011618032.1
sync_0042	WP_011618033.1
sync_0043	WP_041426210.1
sync_0045	WP_011618035.1
sync_0046	WP_049750374.1
sync_0047	WP_011618037.1
sync_0048	WP_237699238.1
sync_0049	WP_041426822.1
sync_0050	WP_041426216.1
sync_0051	WP_011618041.1
sync_0052	WP_011618042.1
sync_0053	WP_011618043.1
sync_0054	WP_011618044.1
sync_0055	WP_041426218.1
sync_0056	WP_041426823.1
sync_0057	WP_011618047.1
sync_0058	WP_006855011.1
sync_0059	WP_011618048.1
sync_0060	WP_148201789.1
sync_0061	WP_011618050.1
sync_0062	WP_011618051.1
sync_0063	WP_011618052.1
sync_0064	WP_011618053.1
sync_0065	WP_011618054.1
sync_0066	WP_011618055.1
sync_0067	WP_011618056.1
sync_0068	WP_011618057.1
sync_0069	WP_011618058.1
sync_0070	WP_041426222.1
sync_0071	WP_011618060.1
sync_0072	WP_011618061.1
sync_0073	WP_041426224.1
sync_0074	WP_011618063.1
sync_0075	WP_011618064.1
sync_0076	WP_011618065.1
sync_0077	WP_011618066.1
sync_0078	WP_237699239.1
sync_0079	WP_237699240.1
sync_0080	WP_006855033.1
sync_0081	WP_011618069.1
sync_0083	WP_011618070.1
sync_0084	WP_011618071.1
sync_0085	WP_237699241.1
sync_0086	WP_011618073.1
